subject,section,passage_text,question_text,option_a,option_b,option_c,option_d,correct_option
"اللغة العربية","النحو والصرف","","(أكلتُ الرغيفَ حتّى طرفِه)، نوع (حتى) هنا:","ابتدائية","عاطفة","حرف جر","ناصرة","حرف جر"
"اللغة العربية","النحو والصرف","","مثنى كلمة (عصا):","عصاتان","عصوان","عصيان","عصاوان","عصوان"
"اللغة العربية","الإملاء","","رأيتُ .......... يركض:","نشأً","نشءً","نشئاً","نشأ","نشءً"
"اللغة العربية","النحو والصرف","","تصغير كلمة (شاعر):","شويعر","شويعرون","شعير","مشيعر","شويعر"
"اللغة العربية","معاني المفردات","","ما هو (الأبيضمان)؟","اللبن والماء","الشحم والشب","الحليب والياسمين","الملح والسكر","الشحم والشب"
"اللغة العربية","النحو والصرف","","المادة الأصلية لكلمة (تراث):","رثث","ورث","ترث","ارث","ورث"
"اللغة العربية","النحو والصرف","","الفعل (استقام) على وزن:","استفعل","استفال","استفعلَ","أفعل","استفعل"
"اللغة العربية","النحو والصرف","","نوع الهمزة في كلمة (امتحان):","قطع","وصل","متطرفة","متوسطة","وصل"
"اللغة العربية","الإملاء","","الكتابة الصحيحة هي:","منورين","منورين بوجودكم","منورون","منورينَ","منورون"
"اللغة العربية","النحو والصرف","","وزن كلمة (جعفر):","فعلل","فعل","يفعل","فعلال","فعلل"
"اللغة العربية","النحو والصرف","","إعراب كلمة (هيهات):","فعل ماض","اسم فعل ماض","حرف تنبيه","مبتدأ","اسم فعل ماض"
"اللغة العربية","النحو والصرف","","ما هو الميزان الصرفي لكلمة (استبق)؟","افتعل","استفعل","انفعل","افعل","افتعل"
"اللغة العربية","النحو والصرف","","كلمة (سماء) نوع الهمزة فيها:","أصلية","منقلبة عن واو","منقلبة عن ياء","زائدة للتأنيث","منقلبة عن واو"
"اللغة العربية","معاني المفردات","","ما يخرج من الفم عند النوم يسمى:","لعاب","بلغم","لعاب","فواق","لعاب"
"اللغة العربية","النحو والصرف","","الوزن الصرفي لكلمة (قاضٍ):","فاعل","فاعِ","فعل","فالِ","فاعِ"
"اللغة العربية","النحو والصرف","","جمع كلمة (هواء):","أهواء","أهوية","هاويات","هوايات","أهوية"
"اللغة العربية","النحو والصرف","","أي من الأفعال التالية (جامد)؟","كتب","نعم","درس","يقوم","نعم"
